Character,Rank,Votes,Pool year,Total nomber of votes
Zambai,,,2021,12000000
Peepley Lulu,,,1999,36000
Peepley Lulu,,,2002,51873
Peepley Lulu,079,,2006,50804
Peepley Lulu,,,2009,42116
Peepley Lulu,,,2015,69472
Peepley Lulu,,,2017,80000
Peepley Lulu,,,2021,12000000
Tilestone,,,1999,36000
Tilestone,,,2002,51873
Tilestone,080,,2006,50804
Tilestone,122,,2009,42116
Tilestone,,,2015,69472
Tilestone,,,2017,80000
Tilestone,,,2021,12000000
Blueno,,,1999,36000
Blueno,,,2002,51873
Blueno,081,,2006,50804
Blueno,083,6,2009,42116
Blueno,,,2015,69472
Blueno,,,2017,80000
Blueno,,,2021,12000000
Kashii and Oimo,,,1999,36000
Kashii and Oimo,,,2002,51873
Kashii and Oimo,082,,2006,50804
Kashii and Oimo,,,2009,42116
Kashii and Oimo,,,2015,69472
Kashii and Oimo,,,2017,80000
Kashii and Oimo,,,2021,12000000
Kairiki Destroyers,,,1999,36000
Kairiki Destroyers,,,2002,51873
Kairiki Destroyers,083,,2006,50804
Kairiki Destroyers,,,2009,42116
Kairiki Destroyers,,,2015,69472
Kairiki Destroyers,,,2017,80000
Kairiki Destroyers,,,2021,12000000
Baskerville,,,1999,36000
Baskerville,,,2002,51873
Baskerville,084,,2006,50804
Baskerville,,,2009,42116
Baskerville,,,2015,69472
Baskerville,,,2017,80000
Baskerville,,,2021,12000000
Rocketman,,,1999,36000
Rocketman,,,2002,51873
Rocketman,085,,2006,50804
Rocketman,,,2009,42116
Rocketman,,,2015,69472
Rocketman,,,2017,80000
Rocketman,,,2021,12000000
Gan Fall,,,1999,36000
Gan Fall,,,2002,51873
Gan Fall,086,,2006,50804
Gan Fall,122,,2009,42116
Gan Fall,,,2015,69472
Gan Fall,,,2017,80000
Gan Fall,,,2021,12000000
Dorry,,,1999,36000
Dorry,,,2002,51873
Dorry,089,,2006,50804
Dorry,122,,2009,42116
Dorry,,,2015,69472
Dorry,,,2017,80000
Dorry,,,2021,12000000
Brogy,,,1999,36000
Brogy,,,2002,51873
Brogy,089,,2006,50804
Brogy,,,2009,42116
Brogy,,,2015,69472
Brogy,,,2017,80000
Brogy,,,2021,12000000
Wapol,,,1999,36000
Wapol,,,2002,51873
Wapol,090,,2006,50804
Wapol,122,,2009,42116
Wapol,,,2015,69472
Wapol,,,2017,80000
Wapol,,,2021,12000000
Nojiko,,,1999,36000
Nojiko,,,2002,51873
Nojiko,091,,2006,50804
Nojiko,122,,2009,42116
Nojiko,,,2015,69472
Nojiko,,,2017,80000
Nojiko,148,,2021,12000000
Genzo,,,1999,36000
Genzo,,,2002,51873
Genzo,092,,2006,50804
Genzo,,,2009,42116
Genzo,,,2015,69472
Genzo,,,2017,80000
Genzo,,,2021,12000000
Dalton,,,1999,36000
Dalton,,,2002,51873
Dalton,093,,2006,50804
Dalton,122,,2009,42116
Dalton,109,,2015,69472
Dalton,,,2017,80000
Dalton,,,2021,12000000
Marshall D. Teach,,,1999,36000
Marshall D. Teach,,,2002,51873
Marshall D. Teach,094,,2006,50804
Marshall D. Teach,051,77,2009,42116
Marshall D. Teach,067,,2015,69472
Marshall D. Teach,049,,2017,80000
Marshall D. Teach,046,22474,2021,12000000
Foxy,,,1999,36000
Foxy,,,2002,51873
Foxy,095,,2006,50804
Foxy,056,40,2009,42116
Foxy,,,2015,69472
Foxy,,,2017,80000
Foxy,132,,2021,12000000
Spandine,,,1999,36000
Spandine,,,2002,51873
Spandine,096,,2006,50804
Spandine,,,2009,42116
Spandine,,,2015,69472
Spandine,,,2017,80000
Spandine,,,2021,12000000
Kumadori,,,1999,36000
Kumadori,,,2002,51873
Kumadori,097,,2006,50804
Kumadori,122,,2009,42116
Kumadori,,,2015,69472
Kumadori,,,2017,80000
Kumadori,,,2021,12000000
Nero,,,1999,36000
Nero,,,2002,51873
Nero,098,,2006,50804
Nero,122,,2009,42116
Nero,,,2015,69472
Nero,,,2017,80000
Nero,,,2021,12000000
Trafalgar Law,,,1999,36000
Trafalgar Law,,,2002,51873
Trafalgar Law,,,2006,50804
Trafalgar Law,010,1180,2009,42116
Trafalgar Law,002,8794,2015,69472
Trafalgar Law,004,7997,2017,80000
Trafalgar Law,005,646686,2021,12000000
Eustass Kid,,,1999,36000
Eustass Kid,,,2002,51873
Eustass Kid,,,2006,50804
